ID_Requisito,Titulo,Fuente,Modulo,Endpoint_REST,Prioridad_MoSCoW,Metodo_Verificacion,Caso_Prueba,Estado,Evidencia,Observaciones
RF-01,Autenticacion con credenciales institucionales,HU-01 / CU-01 / ADR-002,Seguridad / Auth,POST /api/v1/auth/login,Must,Prueba,JwtTokenProviderTest.java;AuthControllerIntegrationTest.java;Phase4FeaturesTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A02; docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-02,Renovacion del token con rotacion del refresh,ADR-002 / OWASP A07,Seguridad / Auth,POST /api/v1/auth/refresh,Must,Prueba,ninguna,Implementado,,Falta prueba del escenario de reutilizacion de refresh token
RF-03,Cierre de sesion con revocacion del token,ADR-002,Seguridad / Auth,POST /api/v1/auth/logout,Must,Prueba,JwtTokenProviderTest.java;AuthControllerIntegrationTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A07,Depende de RNF-04
RF-04,Provision de cuentas por el Administrador,HU-11 / CU-11,Seguridad / Auth,POST /api/v1/auth/register,Must,Prueba,AuthControllerIntegrationTest.java;UsuarioServiceImplTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01 (mass-assignment corregido 2026-09-04),
RF-05,Recuperacion de la contrasena olvidada,OWASP A07; carencia detectada contra el asistente virtual (RF-44),Seguridad / Auth,n/a,Must,Prueba,ninguna,Planificado,,No implementado. Unico requisito del corpus que exige programar
RF-06,Cambio de la contrasena propia,OWASP A07 / NIST SP 800-63B,Seguridad / Auth,n/a,Must,Prueba,ninguna,Planificado,,No implementado
RF-07,Consulta de los permisos efectivos propios,ADR-005,Seguridad / Permisos,GET /api/me/permisos,Should,Prueba,ninguna,Implementado,,MeController sin clase de prueba dedicada
RF-08,Gestion de usuarios,HU-11 / CU-11,Usuarios,GET /api/usuarios,Must,Prueba,UsuarioServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06); docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,La modificacion de usuario no altera la contrasena: ver RF-05
RF-09,Activacion y desactivacion de cuentas,HU-11,Usuarios,PATCH /api/usuarios/{id}/activar,Should,Prueba,UsuarioServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-10,Actualizacion del perfil propio,OWASP A01; auditoria de control de acceso 2026-08-11/12,Usuarios,PATCH /api/usuarios/{id}/perfil,Should,Prueba,UsuarioServiceImplTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,
RF-11,Gestion de roles,ADR-005,Seguridad / Roles,GET /api/roles,Should,Prueba,RolControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-12,Asignacion de permisos a un rol,ADR-005,Seguridad / Permisos,PUT /api/permisos/rol/{rolId},Must,Prueba,PermisoControllerTest.java;PermisoServiceTest.java,Verificado,backend/src/main/resources/db/migration/V13__permisos_roles_dinamicos.sql,Sin salvaguarda contra retirar el permiso al rol ADMIN
RF-13,Registro de la solicitud de pre-sustentacion,HU-02 / CU-02,Solicitudes,POST /api/solicitudes/crear-por-usuario/{usuarioId},Must,Prueba,SolicitudServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06); docs/basedatos/CATALOGO-SP.md (sp_generar_codigo_expediente),
RF-14,Envio de la solicitud a revision,HU-02 / CU-02,Solicitudes,POST /api/solicitudes/enviar/{id},Must,Prueba,SolicitudServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-15,Aprobacion o rechazo de la solicitud,HU-02 / CU-02,Solicitudes,POST /api/solicitudes/aprobar/{id},Must,Prueba,SolicitudServiceImplTest.java;SolicitudControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-16,Suspension de una solicitud,Reglamento de titulacion; migracion V1 (motivo_suspension) y V13 (SOLICITUDES_SUSPENDER),Solicitudes,POST /api/solicitudes/suspender/{id},Should,Prueba,ninguna,Implementado,,Cobertura parcial en SolicitudControllerTest. No existe reanudacion: SUSPENDIDA es hoy terminal
RF-17,Consulta y seguimiento de la solicitud propia,HU-02 / CU-02,Solicitudes,GET /api/solicitudes/mis-solicitudes,Must,Prueba,SolicitudServiceImplTest.java;SolicitudAccessServiceTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,
RF-18,Consulta administrativa de solicitudes,HU-09 / CU-09,Solicitudes,GET /api/solicitudes/paginado,Should,Prueba,SolicitudControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-19,Carga del anteproyecto en PDF,HU-12 / CU-12,Anteproyectos,POST /api/anteproyectos/enviar/{solicitudId},Must,Prueba,AnteproyectoServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06); docs/mediciones/sec/static-analysis/STATIC-ANALYSIS.md,
RF-20,Verificacion de integridad del anteproyecto,HU-12 / CU-12,Anteproyectos,GET /api/anteproyectos/verificar/{solicitudId},Should,Prueba + Inspeccion,AnteproyectoServiceImplTest.java,Verificado,docs/mediciones/sec/static-analysis/STATIC-ANALYSIS.md (UNSAFE_HASH_EQUALS corregido 2026-08-29),
RF-21,Revision del anteproyecto,HU-12 / CU-12,Anteproyectos,POST /api/anteproyectos/aprobar/{id},Must,Prueba,AnteproyectoServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-22,Asignacion del tutor,HU-03 / CU-03,Tutoria,POST /api/jurados/tutor/asignar,Must,Prueba,TutorServiceImplTest.java;JuradoServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-23,Gestion de las tres fases de tutoria,Reglamento de titulacion (3 revisiones); migracion V1 (tutoria_fases),Tutoria,POST /api/tutorias/{tutorId}/nueva-fase,Must,Prueba,TutoriaServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-24,Entrega de correcciones del estudiante en una fase,"Reglamento de titulacion; migracion V1 (archivo_pdf_estudiante, sha256_pdf)",Tutoria,POST /api/tutorias/fases/{faseId}/subir-pdf,Must,Prueba,TutoriaServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-25,Mensajeria de la fase de tutoria,"Migracion V1 (tutoria_mensajes, tipos_mensaje)",Tutoria,POST /api/tutorias/fases/{faseId}/mensaje,Should,Prueba,ninguna,Implementado,,Cobertura parcial en TutoriaControllerTest: falta prueba del criterio de tipo de mensaje
RF-26,Aprobacion de la fase y cierre de la tutoria,Reglamento de titulacion: cierre de tutoria como precondicion del tribunal,Tutoria,POST /api/tutorias/fases/{faseId}/aprobar,Must,Prueba,TutoriaServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-27,Conformacion del tribunal,HU-03 / CU-03,Jurados,POST /api/jurados/asignar,Must,Prueba,JuradoServiceImplTest.java;JuradoControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-28,Asignacion masiva de tribunales y sugerencia de jurados,HU-03 / CU-03 / ADR-006,Jurados,POST /api/jurados/asignar-masivo,Should,Prueba,JuradoServiceImplTest.java,Verificado,docs/basedatos/CATALOGO-SP.md (sp_asignar_jurado_masivo),
RF-29,Programacion del cronograma de defensa,HU-04 / CU-04 / ADR-006,Cronograma,POST /api/cronogramas/crear,Must,Prueba,CronogramaServiceImplTest.java;CronogramaControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06); docs/basedatos/CATALOGO-SP.md (sp_validar_conflicto_jurado),
RF-30,Consulta de disponibilidad de salas y franjas,HU-04 / HU-10,Cronograma,GET /api/cronogramas/disponibilidad,Should,Prueba,ninguna,Implementado,,Cobertura parcial en CronogramaControllerTest: falta prueba de coherencia con RF-29
RF-31,Gestion de salas de sustentacion,HU-10 / CU-10,Salas,GET /api/salas,Should,Prueba,ninguna,Implementado,,Era RF-10 en v1.0.0; sigue sin clase de prueba dedicada
RF-32,Gestion de rubricas y de sus criterios,HU-05 / CU-05,Evaluaciones,GET /api/rubricas,Must,Prueba,RubricaEvaluacionServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-33,Registro de la evaluacion por criterio de rubrica,HU-05 / CU-05,Evaluaciones,POST /api/rubrica-evaluacion/registrar,Must,Prueba,RubricaEvaluacionServiceImplTest.java;EvaluacionJuradoServiceTest.java,Verificado,docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,
RF-34,Calculo de la nota final ponderada,HU-05 / CU-05 / ADR-006,Evaluaciones,POST /api/evaluaciones/evaluar-ponderado,Must,Prueba,EvaluacionServiceImplTest.java;EvaluacionControllerTest.java,Verificado,docs/basedatos/CATALOGO-SP.md (sp_calcular_promedio_evaluacion),
RF-35,Consulta de resultados de evaluacion,HU-05 / CU-05,Evaluaciones,GET /api/evaluaciones/solicitud/{solicitudId},Should,Prueba,EvaluacionControllerTest.java;EvaluacionJuradoControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-36,Generacion del acta,HU-06 / CU-06,Actas,POST /api/v1/actas/generar/{solicitudId},Must,Prueba,ActaServiceImplTest.java,Verificado,docs/actas/HISTORIAL-Y-REPORTES.md; PDF real generado en test (2026-08-29),
RF-37,Firma digital multi-actor del acta,HU-07 / CU-07 / ADR-006,Actas / Firmas,POST /api/v1/actas/firmar/{actaId},Must,Prueba,ActaServiceImplTest.java,Verificado,docs/basedatos/CATALOGO-SP.md (sp_firmar_acta_digital); docs/mediciones/sec/owasp/OWASP-AUDIT.md (2026-08-29) control A01,Sube de Should a Must en v2.0.0: es la unica transicion a COMPLETADA
RF-38,Consulta y descarga del acta,Migracion V19 (ACTAS_VER / ACTAS_VER_PROPIAS); OWASP A01,Actas,GET /api/v1/actas/mis-actas,Should,Prueba + Demostracion,ActaServiceImplTest.java;ActaControllerTest.java,Verificado,docs/actas/HISTORIAL-Y-REPORTES.md (E2E: DOCENTE ve solo sus actas; acta ajena 403),
RF-39,Cambio de estado del acta,Migracion V19 (catalogo estados_acta con orden),Actas,PATCH /api/v1/actas/{id}/estado,Should,Prueba + Demostracion,ActaServiceImplTest.java,Verificado,docs/actas/HISTORIAL-Y-REPORTES.md (FINALIZADA->REVISADA 400; sin motivo 400),
RF-40,Historial de estados del acta,Migracion V19 (tabla historial_estados_acta; ACTA_HISTORIAL_VER),Actas / Historial,GET /api/v1/actas/{id}/historial,Should,Prueba + Inspeccion,ActaServiceImplTest.java,Verificado,backend/src/main/resources/db/migration/V19__historial_actas_y_reportes.sql,
RF-41,Notificaciones al usuario,HU-08 / CU-08,Notificaciones,GET /api/v1/notificaciones/usuario/{usuarioId},Should,Prueba,NotificacionServiceImplTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
RF-42,Envio manual de notificaciones,HU-08,Notificaciones,POST /api/v1/notificaciones/crear,Could,Prueba,ninguna,Implementado,,Cobertura parcial en NotificacionServiceImplTest: falta prueba del envio manual
RF-43,Consulta del estado del proceso en tiempo real,"ADR-001: actualizacion por sondeo, no por canal persistente",Estado en tiempo real,GET /api/estado/solicitud/{id},Should,Prueba,ninguna,Implementado,,Actualizacion por sondeo cada 15 s; no hay WebSocket
RF-44,Asistente virtual de ayuda,Observacion docente OBS-17 (docs/observaciones/OBSERVACIONES.md),Chatbot,POST /api/v1/chatbot/ask,Could,Prueba + Inspeccion,ChatbotServiceTest.java;ChatbotControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),"Ofrece ayuda sobre cambio de contrasena, capacidad que no existe (RF-05/RF-06)"
RF-45,Consulta del directorio de universidades,Criterio de API externa de la asignatura,API externa,GET /api/universidades,Could,Prueba + Analisis,ExternalApiServiceImplTest.java,Verificado,"k6/README.md (corridas 3-7) (analisis cache fria vs caliente, n=30 por escenario)",
RF-46,Exploracion del catalogo de temas propuestos,docs/funcionalidades/CENTRO-ORIENTACION.md; migraciones V20 a V23,Orientacion,GET /api/v1/orientacion/temas,Should,Prueba,TemaServiceImplTest.java;TemaControllerTest.java,Verificado,docs/mediciones/jacoco/COVERAGE.md (2026-09-06),
